"Data Source","World Development Indicators",

"Last Updated Date","2018-10-18",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Nigeria","NGA","Contributing family workers, total (% of total employment) (modeled ILO estimate)","SL.FAM.WORK.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.6619997024536","15.7189998626709","13.7869997024536","13.7959995269775","12.8879995346069","12.3540000915527","12.5170001983643","11.0139999389648","12.1000003814697","13.5790004730225","11.6190004348755","9.02200031280518","9.56700038909912","9.98900032043457","9.72500038146973","10.9499998092651","10.3009996414185","9.26200008392334","9.04699993133545","9.66100025177002","11.0530004501343","11.2659997940063","11.6590003967285","10.7110004425049","9.10099983215332","9.03600025177002","8.95400047302246",
"Nigeria","NGA","Contributing family workers, male (% of male employment) (modeled ILO estimate)","SL.FAM.WORK.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.8179998397827","13.4540004730225","12.2329998016357","12.1820001602173","11.6090002059937","11.2519998550415","11.298999786377","10.3030004501343","10.9370002746582","11.8529996871948","10.6149997711182","9.09899997711182","9.38300037384033","9.56400012969971","9.31999969482422","10.0410003662109","9.59200000762939","8.88000011444092","8.70499992370605","9.07999992370605","9.8129997253418","9.88199996948242","10.0679998397827","9.47700023651123","8.4350004196167","8.33199977874756","8.23600006103516",
"Nigeria","NGA","Contributing family workers, female (% of female employment) (modeled ILO estimate)","SL.FAM.WORK.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.173999786377","18.8020000457764","15.9040002822876","15.9870004653931","14.6190004348755","13.8409996032715","14.1579999923706","11.9700002670288","13.6590003967285","15.8850002288818","12.9619998931885","8.91800022125244","9.8120002746582","10.5469999313354","10.2510004043579","12.1219997406006","11.2089996337891","9.74600028991699","9.47500038146973","10.3830003738403","12.576000213623","12.9479999542236","13.5679998397827","12.1820001602173","9.89500045776367","9.87199974060059","9.80300045013428",
"Nigeria","NGA","Children in employment, unpaid family workers (% of children in employment, ages 7-14)","SL.FAM.0714.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","80.78","","","","84.22","","","","","","",
"Nigeria","NGA","Children in employment, unpaid family workers, male (% of male children in employment, ages 7-14)","SL.FAM.0714.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","78.52","","","","81.88","","","","","","",
"Nigeria","NGA","Children in employment, unpaid family workers, female (% of female children in employment, ages 7-14)","SL.FAM.0714.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","83.09","","","","86.43","","","","","","",
"Nigeria","NGA","Wage and salaried workers, total (% of total employment) (modeled ILO estimate)","SL.EMP.WORK.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.0839996337891","16.4200000762939","15.9499998092651","15.9899997711182","15.6800003051758","15.7329998016357","15.9219999313354","15.4849996566772","15.9200000762939","16.7070007324219","16.2210006713867","13.9449996948242","14.6540002822876","16.2099990844727","16.2369995117188","17.1620006561279","17.193000793457","16.9780006408691","17.1840000152588","17.8729991912842","18.7229995727539","19.0060005187988","19.4360008239746","19.3339996337891","18.6450004577637","18.5049991607666","18.4799995422363",
"Nigeria","NGA","Wage and salaried workers, male (% of male employment) (modeled ILO estimate)","SL.EMP.WORK.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.9370002746582","19.011999130249","18.7360000610352","18.8409996032715","18.4950008392334","18.5179996490479","18.7730007171631","18.5179996490479","18.9440002441406","19.3530006408691","19.0240001678467","16.8090000152588","17.8490009307861","19.7439994812012","20.0400009155273","20.9549999237061","21.1200008392334","21.128999710083","21.3980007171631","21.943000793457","23.0900001525879","23.451000213623","23.8409996032715","23.8929996490479","23.6879997253418","23.7830009460449","23.7660007476807",
"Nigeria","NGA","Wage and salaried workers, female (% of female employment) (modeled ILO estimate)","SL.EMP.WORK.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.1969995498657","12.8900003433228","12.1529998779297","12.1180000305176","11.871000289917","11.9729995727539","12.0819997787476","11.4130001068115","11.8660001754761","13.173999786377","12.4720001220703","10.1099996566772","10.3900003433228","11.5740003585815","11.2889995574951","12.2679996490479","12.1700000762939","11.7189998626709","11.8979997634888","12.8190002441406","13.3610000610352","13.6090002059937","14.1490001678467","13.8990001678467","12.6389999389648","12.2360000610352","12.2220001220703",
"Nigeria","NGA","Vulnerable employment, total (% of total employment) (modeled ILO estimate)","SL.EMP.VULN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","82.8940019607544","82.5939998626709","83.0939989089966","83.0099964141845","83.3830022811889","83.3920021057129","83.1599979400635","83.6289978027343","83.0970020294189","82.3790035247803","82.9439973831177","85.3800020217896","84.5409994125366","82.9769992828369","82.8720035552978","81.8819990158081","81.8820009231568","82.1279973983764","81.9499998092652","81.2950029373169","80.2200002670288","79.9010019302368","79.4790000915527","79.6360034942627","80.2819995880127","80.2820024490356","80.307996749878",
